,Instructor,Department,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled
1431,"Johnson, Kristyn L",Visual Arts,43.0,3.6,1.0,320.0
1432,"Cruz, Edwin Teddy",Visual Arts,99.3,3.733333333333333,3.0,128.0
1433,"Humphrey, Malisa N.",Visual Arts,100.0,3.75,1.0,17.0
1434,"Ortiz-Torres, Ruben",Visual Arts,90.0,3.5700000000000003,3.0,68.0
1435,"Walsh, Zoe C",Visual Arts,90.9,3.9,1.0,16.0
1436,"Lajarin-Encina, Aitor",Visual Arts,96.96666666666665,3.8699999999999997,3.0,49.0
1437,"Herc-Balaszek, Malgorzata",Visual Arts,100.0,4.0,1.0,8.0
1438,"Tonies, Joshua Vanjaymes",Visual Arts,98.12857142857142,3.7585714285714285,7.0,242.0
1439,"Gallaccio, Anya",Visual Arts,86.6,3.815,2.0,30.0
1440,"Nodelman, Sheldon A.",Visual Arts,56.2,2.8200000000000003,2.0,92.0
1441,"Rose, Jordan M",Visual Arts,96.66666666666667,3.3633333333333333,3.0,92.0
1442,"Bryson, William N",Visual Arts,95.875,3.635,4.0,334.0
1443,"Shen, Kuiyi",Visual Arts,90.0,3.75,3.0,228.0
1444,"Stalbaum, Brett",Visual Arts,98.67999999999999,3.8019999999999996,5.0,154.0
1445,"Dominguez, Ricardo",Visual Arts,79.85,3.795,2.0,89.0
1446,"Bratton, Benjamin H.",Visual Arts,67.06666666666668,3.436666666666667,3.0,164.0
1447,"Cartwright, Lisa",Visual Arts,87.97500000000001,3.8825,4.0,447.0
1448,"Kester, Grant",Visual Arts,98.36666666666667,3.643333333333333,3.0,317.0
1449,"Wallen, Ruth",Visual Arts,87.5,3.86,1.0,25.0
1450,"Porter, Ava Hermine",Visual Arts,94.6,3.73,2.0,193.0
1451,"Mangolte, Babette",Visual Arts,40.7,3.34,3.0,69.0
1452,"Miller, Nicole L",Visual Arts,84.4,3.2125000000000004,4.0,77.0
1453,"Wetzler, Graydon K.",Visual Arts,95.0,3.7,1.0,20.0
1454,"Woods, Ann",Visual Arts,99.35,3.59,2.0,373.0
1455,"Jessica, D'Elena-Tweed Eri",Visual Arts,80.8,3.45,1.0,137.0
1456,"Cross, Brian R",Visual Arts,91.76,3.5420000000000003,5.0,316.0
1457,"Li, Huai",Visual Arts,100.0,3.9166666666666665,3.0,62.0
1458,"Paden, Jonathon Dean",Visual Arts,75.0,3.75,1.0,22.0
1459,"Anderson, Shane Nicholas",Visual Arts,100.0,3.6550000000000002,2.0,76.0
1460,"Bateman, Vanessa Mae",Visual Arts,100.0,3.65,1.0,35.0
1461,"Park, Kyong Dong",Visual Arts,78.39999999999999,3.8000000000000003,3.0,117.0
1462,"Rigg, Brianna D",Visual Arts,100.0,3.9050000000000002,2.0,53.0
1463,"Boadwee, Keith",Visual Arts,83.75,3.675,2.0,29.0
1464,"Guerrero, Raul M.",Visual Arts,84.65,3.77,2.0,49.0
1465,"Vangenderen, Monique Luise",Visual Arts,100.0,3.7866666666666666,3.0,56.0
1466,"Welchman, John C.",Visual Arts,95.23333333333333,3.6199999999999997,3.0,40.0
1467,"Greenstein, Jack M",Visual Arts,78.3,3.19,1.0,64.0
1468,"Newsome, Elizabeth Ann",Visual Arts,83.76666666666667,3.76,3.0,119.0
1469,"Wardwell, Mariana Razo",Visual Arts,71.10000000000001,3.89,3.0,98.0
1470,"Byrd, Stefani Michele",Visual Arts,100.0,3.71,1.0,15.0
1471,"Grenader, Emily Ruth",Visual Arts,100.0,4.0,1.0,16.0
1472,"Williams, Alena J",Visual Arts,100.0,3.61,1.0,26.0
1473,"Gomez Mostajo, Maria Loren",Visual Arts,81.7,3.74,4.0,311.0
1474,"O'Callaghan, Deirdre M",Visual Arts,62.5,3.4,2.0,41.0
1475,"Jacobs, Bryan C",Visual Arts,100.0,3.57,1.0,22.0
1476,"Pesch, Katrin",other,96.45,3.32,2.0,36.0
1477,"Sowell, Teri Lynne",Visual Arts,100.0,3.56,1.0,107.0
1478,"Gregoire, Mathieu",Visual Arts,89.1,3.56,1.0,153.0
1479,"Dinco, Dino",Visual Arts,100.0,3.89,1.0,14.0
1480,"Tronzo, William",Visual Arts,87.5,3.62,1.0,52.0
1481,"Cho, Erica",Visual Arts,100.0,3.67,1.0,13.0
1482,"Alexander, Amy J",Visual Arts,93.0,3.64,1.0,64.0
1483,"Stone, Patricia",Visual Arts,83.3,3.83,1.0,22.0
1484,"Crandall, Jordan",Visual Arts,64.75,3.65,2.0,38.0
1485,"Kelley, Jeff J",Visual Arts,96.3,3.88,1.0,100.0
1486,"Chou, Yeongchau D",Visual Arts,70.8,3.69,1.0,142.0
1487,"Almeida, Jane",Visual Arts,46.3,3.6,1.0,130.0
1488,"Roxworthy, Emily",Warren College,100.0,4.0,1.0,31.0
1489,"Debnath, Anjan",Warren College,88.9,4.0,1.0,12.0
1490,"Blomstedt, Elizabeth Ann",Warren College Writing Program,100.0,3.59,4.0,76.0
1491,"Young, Mark T",Warren College Writing Program,96.825,3.3237500000000004,8.0,146.0
1492,"Pedler, John Christopher",Warren College Writing Program,100.0,2.75,1.0,15.0
1493,"Veal, Adam",Warren College Writing Program,92.3,3.69,1.0,15.0
1494,"Griffin, Stephen Edward",Warren College Writing Program,100.0,3.17,1.0,14.0
1495,"Zhang, Yingjin",Literature,83.7,3.71,1.0,322.0
1496,"Miyao, Daisuke",Literature,98.16666666666667,3.85,3.0,817.0
1497,"Vitkus, Daniel J.",Literature,88.575,3.3175,4.0,116.0
1498,"Tonkovich, Nicole",Literature,91.65,3.75,2.0,29.0
1499,"Walkiewicz, Kathryn A",Literature,100.0,3.7659999999999996,5.0,143.0
1500,"Ploye, Catherine",Literature,97.14285714285714,3.3685714285714283,7.0,115.0
1501,"Kontje, Todd Curtis",Literature,100.0,3.5,1.0,11.0
1502,"Fischer-Grunski, Eva K",Literature,100.0,3.795,2.0,42.0
1503,"De Marchi Gherini, Adriana",Literature,98.89999999999999,3.9071428571428575,7.0,144.0
1504,"Lee, Jeyseon",Literature,81.525,3.3075,8.0,133.0
1505,"Wirshbo, Eliot",Literature,94.43333333333334,3.231666666666667,6.0,135.0
1506,"Murray, Kourtney Kristine",Literature,94.4,3.25,1.0,34.0
1507,"Wells, Patricia Rebecca",Literature,99.1625,3.81375,8.0,173.0
1508,"Chacon, Gloria Elizabeth",Literature,100.0,3.5366666666666666,3.0,44.0
1509,"Pita, Beatrice M",Literature,92.64000000000001,3.436,5.0,117.0
1510,"Lerer, Seth",Literature,95.25,3.8183333333333334,6.0,359.0
1511,"Jed, Stephanie H",Literature,95.8,3.92,1.0,61.0
1512,"Forbes, Camille",Literature,92.2,3.4433333333333334,3.0,108.0
1513,"Banales, Melissa",Literature,94.92,3.91,5.0,109.0
1514,"Springer, Anna Joy",Literature,79.67999999999999,3.5780000000000003,5.0,176.0
1515,"Hoang, Lily Kim",Literature,92.53999999999999,3.752,5.0,174.0
1516,"Som, Brandon D",Literature,100.0,3.85,1.0,83.0
1517,"Cancel, Robert",Literature,87.5,3.435,2.0,28.0
1518,"Giordano, Kailey Nicole",Literature,100.0,3.64,1.0,15.0
1519,"Driscoll Salemi, Shelby London",Literature,91.7,3.45,1.0,12.0
1520,"di Grazia, Gina Marie",Literature,83.3,3.4,1.0,16.0
1521,"Vippermancohen, Melissa Rache",Literature,100.0,3.75,1.0,12.0
1522,"Bottcher, Carolin",Literature,100.0,3.45,1.0,14.0
1523,"Zavodny, Tatiana Sophia",Literature,91.7,3.83,1.0,23.0
1524,"Liao, Ping H",Literature,89.3,3.8499999999999996,4.0,250.0
1525,"Davidson, R. Michael",Literature,100.0,3.75,1.0,12.0
1526,"Woodhull, Winifred Johanna",Literature,100.0,4.0,1.0,4.0
1527,"Heinrich, Larissa",Literature,89.25,3.82,2.0,377.0
1528,"Berthelier, Benoit P",Literature,98.45,3.715,2.0,172.0
1529,"Loose, Margaret",Literature,100.0,3.723333333333333,3.0,58.0
1530,"Odom, Mychal Matsemelaali",Literature,74.3,3.77,1.0,79.0
1531,"Mebane, Julia",Literature,97.78,3.564,5.0,114.0
1532,"Sanchez, Rosaura",Literature,85.65,3.5700000000000003,2.0,102.0
1533,"Cohen, Alain J. J.",Literature,100.0,3.615,2.0,41.0
1534,"Pafunda, Danielle",Literature,98.075,3.8075,4.0,139.0
1535,"Johnson, Sara E.",Literature,97.2,3.69,1.0,45.0
1536,"Morse, Ainsley",Literature,100.0,3.7,2.0,30.0
1537,"Kokotovic, Milos",Literature,100.0,3.755,2.0,43.0
1538,"Doller, Ben",Literature,91.7,3.87,1.0,99.0
